town,county,acs_population,primary_action,secondary_signals,decision_note,climate_safe_housing_mvp_score,housing_need_score,social_vulnerability_score,infrastructure_efficiency_proxy_score,resilience_investment_priority_score,pct_cost_burdened_households,pct_cost_burdened_renter_households,pct_below_poverty,pct_zero_vehicle_households,pct_65_plus,pct_with_disability,pct_under_18,pct_seasonal_housing_units,pct_long_commute_workers,pct_no_internet_or_subscription_households,climate_asset_sample_count,bridge_sample_count,culvert_sample_count,slr_site_sample_count,flood_site_sample_count
Dresden,Lincoln,1645.0,Monitor and screen after hazard layers,workforce commute pressure,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,33.5,34.37,36.89,32.33,37.67,25.32,13.16,9.33,5.68,24.8,14.22,16.96,9.01,25.23,2.11,0.0,0.0,0.0,0.0,0.0
Perry,Washington,744.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,33.5,39.32,29.18,43.0,32.72,24.54,27.27,4.3,0.68,20.97,18.11,24.06,22.05,12.0,1.02,0.0,0.0,0.0,0.0,0.0
Chester,Penobscot,598.0,Monitor and screen after hazard layers,workforce commute pressure,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,33.47,32.68,34.47,32.95,34.79,25.74,16.67,9.03,2.75,18.56,18.23,23.41,4.88,25.4,0.92,0.0,0.0,0.0,0.0,0.0
Wallagrass,Aroostook,514.0,Monitor and screen after hazard layers,sample asset review; workforce commute pressure,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,33.47,40.23,38.13,29.89,41.01,29.95,32.0,3.5,0.0,39.49,21.4,16.93,14.71,26.56,0.0,1.0,1.0,0.0,0.0,0.0
Embden,Somerset,995.0,Seasonal market stabilization,seasonal/year-round housing pressure; workforce commute pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,33.41,47.21,42.79,33.86,46.67,35.75,0.0,12.21,2.29,34.57,13.37,13.17,51.42,20.11,0.69,0.0,0.0,0.0,0.0,0.0
Belgrade,Kennebec,3351.0,Seasonal market stabilization,seasonal/year-round housing pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,33.33,44.35,25.91,46.44,33.0,32.37,17.24,3.09,0.8,23.87,10.53,22.56,42.84,6.71,0.0,0.0,0.0,0.0,0.0,0.0
Cyr,Aroostook,59.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,33.27,14.5,33.64,50.97,14.39,17.39,0.0,5.08,0.0,37.29,16.95,10.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bremen,Lincoln,917.0,Seasonal market stabilization,seasonal/year-round housing pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,33.25,42.95,38.71,41.16,40.98,31.75,0.0,9.38,3.33,34.13,12.21,18.65,38.77,14.54,0.0,0.0,0.0,0.0,0.0,0.0
Solon,Somerset,963.0,Monitor and screen after hazard layers,workforce commute pressure,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,33.22,46.6,43.33,24.07,51.75,35.98,14.63,10.68,1.4,23.88,23.36,17.24,22.19,40.69,3.5,0.0,0.0,0.0,0.0,0.0
Hammond,Aroostook,65.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,33.1,35.93,48.88,33.08,39.82,12.0,0.0,17.74,12.0,7.69,30.77,30.77,21.62,16.13,0.0,0.0,0.0,0.0,0.0,0.0
Moose River,Somerset,248.0,Seasonal market stabilization,seasonal/year-round housing pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,33.04,43.09,29.51,40.49,33.0,26.44,0.0,14.92,8.65,8.47,1.21,32.26,26.24,9.09,0.0,0.0,0.0,0.0,0.0,0.0
Harpswell,Cumberland,5046.0,Seasonal market stabilization,seasonal/year-round housing pressure; sample asset review; workforce commute pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,32.94,45.76,34.78,36.57,45.39,25.38,24.88,5.56,1.92,38.6,12.2,8.8,33.53,23.1,0.77,1.0,0.0,0.0,1.0,0.0
Anson,Somerset,2331.0,Monitor and screen after hazard layers,workforce commute pressure,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,32.7,35.46,35.93,27.11,40.28,25.08,20.59,8.75,3.97,18.28,19.76,22.05,7.59,30.98,2.03,0.0,0.0,0.0,0.0,0.0
Hudson,Penobscot,1305.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,32.7,37.89,30.72,39.55,32.63,31.69,10.26,6.51,0.18,18.85,15.94,17.16,20.89,11.23,2.21,0.0,0.0,0.0,0.0,0.0
Northeast Somerset UT,Somerset,516.0,Seasonal market stabilization,seasonal/year-round housing pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,32.65,36.14,44.78,43.62,38.39,29.74,0.0,4.07,0.0,55.81,24.61,2.71,76.39,9.3,0.0,0.0,0.0,0.0,0.0,0.0
Peru,Oxford,1501.0,Monitor and screen after hazard layers,workforce commute pressure,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,32.64,39.43,36.21,31.9,40.74,22.86,21.74,9.21,2.89,21.65,19.65,20.79,18.64,24.71,0.8,0.0,0.0,0.0,0.0,0.0
Isle au Haut,Knox,69.0,Seasonal market stabilization,seasonal/year-round housing pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,32.6,37.32,38.26,46.47,31.57,33.33,0.0,2.9,0.0,81.16,14.49,0.0,57.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Edgecomb,Lincoln,1251.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,32.59,38.85,29.33,42.08,33.49,24.18,21.05,5.6,0.74,24.54,14.39,16.87,24.57,13.01,0.0,0.0,0.0,0.0,0.0,0.0
Burlington,Penobscot,328.0,Resilience before or alongside growth,resilience before growth; seasonal/year-round housing pressure; workforce commute pressure,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,32.54,46.57,59.42,21.25,59.27,20.45,0.0,19.33,9.52,24.7,39.33,24.09,47.0,46.84,1.36,0.0,0.0,0.0,0.0,0.0
Dedham,Hancock,1656.0,Seasonal market stabilization,seasonal/year-round housing pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,32.42,46.18,29.7,39.58,38.86,29.62,13.04,9.0,2.18,18.72,9.42,23.79,41.22,13.55,1.09,0.0,0.0,0.0,0.0,0.0
Swans Island,Hancock,438.0,Seasonal market stabilization,seasonal/year-round housing pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,32.42,44.81,23.9,45.75,29.83,21.11,40.0,1.14,0.5,28.08,11.42,16.44,52.13,1.4,0.5,0.0,0.0,0.0,0.0,0.0
Exeter,Penobscot,1093.0,Monitor and screen after hazard layers,workforce commute pressure,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,32.31,40.42,30.67,29.53,41.21,22.46,33.33,8.14,1.57,23.88,12.35,8.97,14.21,31.15,0.45,0.0,0.0,0.0,0.0,0.0
New Canada,Aroostook,449.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,32.31,22.46,36.21,40.38,25.41,17.16,0.0,9.13,6.29,16.93,21.83,43.65,5.13,12.35,0.0,0.0,0.0,0.0,0.0,0.0
Northwest Piscataquis UT,Piscataquis,259.0,Seasonal market stabilization,seasonal/year-round housing pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,32.27,40.69,41.78,38.84,38.18,23.0,0.0,13.9,1.87,25.87,19.69,5.41,83.14,8.59,0.0,0.0,0.0,0.0,0.0,0.0
Westmanland,Aroostook,108.0,Seasonal market stabilization,seasonal/year-round housing pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,32.26,37.38,52.03,36.32,44.06,25.58,0.0,6.6,4.35,36.11,39.81,3.7,48.31,5.88,10.87,0.0,0.0,0.0,0.0,0.0
Chesterville,Franklin,1397.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,32.22,40.93,31.56,35.73,36.71,18.45,21.82,12.03,2.16,15.03,13.89,31.28,23.42,16.78,0.65,0.0,0.0,0.0,0.0,0.0
Connor UT,Aroostook,440.0,Monitor and screen after hazard layers,workforce commute pressure,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,32.22,34.57,30.53,25.79,36.83,24.48,23.08,12.5,0.0,14.09,12.5,23.86,1.38,34.32,0.0,0.0,0.0,0.0,0.0,0.0
Shirley,Piscataquis,234.0,Seasonal market stabilization,seasonal/year-round housing pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,32.05,39.06,42.58,39.51,37.68,16.09,0.0,16.96,2.06,26.5,17.09,16.24,49.05,7.08,1.03,0.0,0.0,0.0,0.0,0.0
Matinicus Isle,Knox,48.0,Seasonal market stabilization,seasonal/year-round housing pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,31.99,35.0,27.91,53.78,27.68,33.33,0.0,0.0,0.0,52.08,2.08,8.33,71.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buckfield,Oxford,2403.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,31.96,26.89,28.11,41.42,27.54,25.39,0.0,5.78,6.55,13.73,12.65,25.72,9.42,16.01,0.79,0.0,0.0,0.0,0.0,0.0
Montville,Waldo,907.0,Monitor and screen after hazard layers,workforce commute pressure,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,31.87,36.18,34.71,31.53,39.45,24.38,11.11,10.69,4.02,21.83,10.69,18.19,15.29,22.85,5.28,0.0,0.0,0.0,0.0,0.0
Carroll,Penobscot,134.0,Resilience before or alongside growth,resilience before growth; seasonal/year-round housing pressure; infrastructure capacity gap; workforce commute pressure,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,31.84,51.11,52.23,17.98,58.74,35.29,0.0,18.66,0.0,32.84,20.9,12.69,38.46,42.31,2.78,0.0,0.0,0.0,0.0,0.0
Hanover,Oxford,276.0,Seasonal market stabilization,seasonal/year-round housing pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,31.83,35.67,37.66,45.97,32.9,9.29,0.0,18.84,0.0,21.74,13.77,15.94,51.47,3.57,0.0,0.0,0.0,0.0,0.0,0.0
Jackson,Waldo,567.0,Monitor and screen after hazard layers,workforce commute pressure,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,31.81,34.05,35.59,29.94,40.47,24.54,6.25,13.76,2.02,17.46,13.93,17.11,11.04,30.94,1.21,0.0,0.0,0.0,0.0,0.0
Masardis,Aroostook,258.0,Resilience before or alongside growth,resilience before growth; seasonal/year-round housing pressure; infrastructure capacity gap; workforce commute pressure,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,31.77,57.09,29.66,22.45,50.9,23.3,66.67,11.24,0.97,14.34,12.4,9.3,30.46,33.92,0.0,0.0,0.0,0.0,0.0,0.0
Parkman,Piscataquis,896.0,Monitor and screen after hazard layers,workforce commute pressure,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,31.31,40.75,41.88,24.38,48.42,27.4,4.44,13.31,5.81,19.87,16.87,19.42,21.1,30.0,5.12,0.0,0.0,0.0,0.0,0.0
Steuben,Washington,1388.0,Seasonal market stabilization,seasonal/year-round housing pressure; workforce commute pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,31.25,47.99,34.26,25.98,49.68,30.82,26.32,5.44,4.67,15.92,18.23,20.39,28.11,26.8,8.48,0.0,0.0,0.0,0.0,0.0
Alexander,Washington,553.0,Seasonal market stabilization,seasonal/year-round housing pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,31.17,35.83,33.6,45.88,30.81,22.37,0.0,6.64,5.15,18.44,19.82,18.08,35.17,1.68,0.43,0.0,0.0,0.0,0.0,0.0
Weld,Franklin,459.0,Seasonal market stabilization,seasonal/year-round housing pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,31.08,35.17,46.81,37.92,41.15,24.85,0.0,6.54,0.0,44.44,27.89,17.86,69.13,11.48,2.63,0.0,0.0,0.0,0.0,0.0
Baldwin,Cumberland,1170.0,Monitor and screen after hazard layers,workforce commute pressure,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,30.98,36.69,29.58,30.76,38.1,29.72,16.67,6.42,0.38,27.69,9.57,12.14,15.14,27.15,0.57,0.0,0.0,0.0,0.0,0.0
Vienna,Kennebec,536.0,Resilience before or alongside growth,resilience before growth; seasonal/year-round housing pressure; infrastructure capacity gap; workforce commute pressure,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,30.98,51.26,37.32,24.06,53.31,22.83,28.57,13.25,1.23,20.52,16.98,15.11,40.6,37.36,1.23,0.0,0.0,0.0,0.0,0.0
Upton,Oxford,91.0,Seasonal market stabilization,seasonal/year-round housing pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,30.92,40.58,33.15,39.78,33.1,41.67,0.0,0.0,1.43,80.22,6.59,0.0,66.96,4.35,0.0,0.0,0.0,0.0,0.0,0.0
Jefferson,Lincoln,2647.0,Seasonal market stabilization,seasonal/year-round housing pressure; workforce commute pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,30.91,49.22,24.34,33.33,42.13,31.54,29.82,3.39,1.17,18.66,10.06,28.03,34.4,21.05,1.48,0.0,0.0,0.0,0.0,0.0
Reed,Aroostook,105.0,Monitor and screen after hazard layers,workforce commute pressure,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,30.85,36.41,47.39,24.01,48.27,24.49,0.0,9.52,12.73,24.76,25.71,2.86,20.0,45.45,0.0,0.0,0.0,0.0,0.0,0.0
South Oxford UT,Oxford,561.0,Seasonal market stabilization,seasonal/year-round housing pressure; workforce commute pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,30.78,44.68,36.23,32.03,46.26,36.0,0.0,8.2,3.69,24.6,14.62,16.76,41.36,25.0,0.0,0.0,0.0,0.0,0.0,0.0
Cutler,Washington,492.0,Monitor and screen after hazard layers,workforce commute pressure,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,30.71,33.97,42.99,32.19,41.47,21.23,0.0,10.98,4.44,30.08,21.34,25.2,23.64,21.72,0.89,0.0,0.0,0.0,0.0,0.0
Ripley,Somerset,436.0,Seasonal market stabilization,seasonal/year-round housing pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,30.57,40.26,34.72,33.85,39.71,20.22,11.54,11.89,2.5,17.66,16.28,16.28,28.83,17.05,1.5,0.0,0.0,0.0,0.0,0.0
Vanceboro,Washington,122.0,Seasonal market stabilization,seasonal/year-round housing pressure; workforce commute pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,30.47,49.23,46.27,16.37,55.94,42.62,0.0,10.66,4.05,40.16,12.3,4.1,30.0,47.46,4.05,0.0,0.0,0.0,0.0,0.0
Pleasant Ridge,Somerset,87.0,Resilience before or alongside growth,resilience before growth; seasonal/year-round housing pressure; workforce commute pressure,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,30.46,36.38,60.09,25.93,57.33,17.24,0.0,13.79,0.0,63.22,37.93,2.3,48.78,27.27,9.52,0.0,0.0,0.0,0.0,0.0
Shapleigh,York,2976.0,Seasonal market stabilization,seasonal/year-round housing pressure; workforce commute pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,30.33,46.21,27.93,32.41,44.21,25.64,27.27,5.31,1.14,24.09,11.96,20.67,43.2,25.4,0.0,0.0,0.0,0.0,0.0,0.0
Greenwood,Oxford,781.0,Resilience before or alongside growth,resilience before growth; seasonal/year-round housing pressure; infrastructure capacity gap; workforce commute pressure,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,30.26,51.08,34.11,23.64,51.95,27.0,29.03,8.68,3.17,23.94,13.96,12.42,56.46,38.51,0.58,0.0,0.0,0.0,0.0,0.0
The Forks,Somerset,92.0,Resilience before or alongside growth,resilience before growth; seasonal/year-round housing pressure; digital resilience gap; workforce commute pressure,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,30.12,40.9,63.94,16.76,64.94,7.5,0.0,23.91,5.66,41.3,20.65,11.96,76.44,27.63,20.75,0.0,0.0,0.0,0.0,0.0
Otis,Hancock,705.0,Resilience before or alongside growth,resilience before growth; seasonal/year-round housing pressure; infrastructure capacity gap; workforce commute pressure,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,29.96,51.92,28.5,25.2,50.1,26.57,35.71,7.8,1.02,20.85,10.73,16.6,56.99,54.62,0.0,0.0,0.0,0.0,0.0,0.0
Codyville UT,Washington,14.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,29.95,27.08,34.03,44.03,24.8,27.27,0.0,0.0,0.0,85.71,14.29,0.0,23.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deblois,Washington,148.0,Monitor and screen after hazard layers,workforce commute pressure,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,29.75,35.96,35.84,30.27,40.54,31.25,0.0,8.78,0.0,25.68,17.57,8.11,22.62,24.62,0.0,0.0,0.0,0.0,0.0,0.0
Talmadge,Washington,67.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,29.71,16.63,33.91,44.52,25.62,0.0,0.0,10.45,8.82,16.42,14.93,17.91,10.53,6.45,8.82,0.0,0.0,0.0,0.0,0.0
Winterville,Aroostook,248.0,Seasonal market stabilization,seasonal/year-round housing pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,29.54,34.3,32.2,43.01,34.0,20.62,0.0,6.85,3.57,30.65,10.48,24.19,54.28,8.0,1.79,0.0,0.0,0.0,0.0,0.0
Woodstock,Oxford,1233.0,Seasonal market stabilization,seasonal/year-round housing pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,29.34,36.54,35.22,37.02,38.54,20.09,0.0,11.54,0.42,23.28,16.83,20.52,50.45,15.07,0.0,0.0,0.0,0.0,0.0,0.0
Kingsbury,Piscataquis,17.0,Resilience before or alongside growth,resilience before growth; seasonal/year-round housing pressure; workforce commute pressure,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,29.26,35.0,65.0,20.2,57.55,0.0,0.0,41.18,0.0,82.35,41.18,0.0,85.44,33.33,0.0,0.0,0.0,0.0,0.0,0.0
Beddington,Washington,38.0,Seasonal market stabilization,seasonal/year-round housing pressure; workforce commute pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,29.04,36.0,45.95,30.44,51.7,35.0,0.0,0.0,0.0,47.37,44.74,0.0,92.05,33.33,0.0,0.0,0.0,0.0,0.0,0.0
Sweden,Oxford,537.0,Seasonal market stabilization,seasonal/year-round housing pressure; workforce commute pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,29.02,46.4,33.9,25.18,49.85,27.11,8.33,14.71,0.0,20.3,7.45,21.79,34.6,28.97,3.91,0.0,0.0,0.0,0.0,0.0
Aurora,Hancock,132.0,Seasonal market stabilization,seasonal/year-round housing pressure; workforce commute pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,28.98,46.85,42.27,19.37,53.24,10.64,33.33,15.15,0.0,27.27,23.48,26.52,41.18,39.13,0.0,0.0,0.0,0.0,0.0,0.0
Sandy River,Franklin,90.0,Seasonal market stabilization,seasonal/year-round housing pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,28.96,29.75,41.73,40.42,33.36,9.76,0.0,11.11,0.0,54.44,14.44,5.56,82.08,4.76,0.0,0.0,0.0,0.0,0.0,0.0
Woodville,Penobscot,198.0,Monitor and screen after hazard layers,workforce commute pressure,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,28.73,35.42,39.04,22.96,45.35,34.41,0.0,5.64,3.12,11.62,43.43,9.6,20.0,39.81,0.0,0.0,0.0,0.0,0.0,0.0
Square Lake UT,Aroostook,751.0,Seasonal market stabilization,seasonal/year-round housing pressure; sample asset review; workforce commute pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,28.4,29.89,46.67,34.66,43.62,13.73,0.0,6.07,4.36,39.15,31.03,7.32,64.45,18.09,3.2,1.0,1.0,0.0,0.0,0.0
East Central Penobscot UT,Penobscot,307.0,Seasonal market stabilization,seasonal/year-round housing pressure; workforce commute pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,28.12,36.83,43.49,27.56,45.18,18.1,0.0,13.68,0.0,23.45,28.01,31.6,42.8,22.33,0.0,0.0,0.0,0.0,0.0,0.0
Roxbury,Oxford,352.0,Seasonal market stabilization,seasonal/year-round housing pressure; workforce commute pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,28.05,37.69,42.78,26.69,47.44,17.53,0.0,13.35,3.66,25.57,21.59,5.97,62.04,25.0,1.83,0.0,0.0,0.0,0.0,0.0
South Franklin UT,Franklin,120.0,Seasonal market stabilization,seasonal/year-round housing pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,27.92,29.96,31.76,42.84,27.65,7.14,0.0,13.33,0.0,20.0,15.0,46.67,34.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stow,Oxford,535.0,Monitor and screen after hazard layers,workforce commute pressure,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,27.91,33.84,34.02,25.46,44.09,16.51,20.0,8.08,0.42,37.94,11.39,15.7,20.59,38.52,1.26,0.0,0.0,0.0,0.0,0.0
Springfield,Penobscot,310.0,Seasonal market stabilization,seasonal/year-round housing pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,27.81,37.63,28.97,34.82,37.48,28.35,0.0,5.48,3.03,21.61,12.26,18.06,36.02,16.3,0.0,0.0,0.0,0.0,0.0,0.0
Northwest Aroostook UT,Aroostook,5.0,Seasonal market stabilization,seasonal/year-round housing pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,27.6,35.0,25.0,40.0,26.75,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lakeville,Penobscot,99.0,Seasonal market stabilization,seasonal/year-round housing pressure; workforce commute pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,27.26,27.72,41.61,36.9,44.09,13.11,0.0,6.06,0.0,41.41,27.27,3.03,82.94,25.64,0.0,0.0,0.0,0.0,0.0,0.0
Wade,Aroostook,244.0,Monitor and screen after hazard layers,workforce commute pressure,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,27.22,20.8,37.09,26.6,37.38,22.22,0.0,4.17,0.83,34.84,20.49,16.39,8.4,28.09,5.83,0.0,0.0,0.0,0.0,0.0
Byron,Oxford,174.0,Seasonal market stabilization,seasonal/year-round housing pressure; workforce commute pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,26.9,37.4,46.86,20.44,55.42,17.39,0.0,14.94,0.0,14.37,32.76,1.15,64.79,30.61,10.11,0.0,0.0,0.0,0.0,0.0
Medford,Piscataquis,222.0,Monitor and screen after hazard layers,workforce commute pressure,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,26.75,29.03,34.15,30.94,38.54,14.17,0.0,11.26,0.76,20.72,18.47,3.15,24.88,23.24,0.76,0.0,0.0,0.0,0.0,0.0
Sebec,Piscataquis,547.0,Seasonal market stabilization,seasonal/year-round housing pressure; workforce commute pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,26.62,34.92,34.66,26.58,46.06,28.57,0.0,5.3,0.79,20.66,19.93,21.76,29.3,24.12,9.84,0.0,0.0,0.0,0.0,0.0
Edinburg,Penobscot,172.0,Monitor and screen after hazard layers,workforce commute pressure,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,26.27,21.08,27.71,29.04,34.7,26.39,0.0,1.74,0.0,23.84,18.6,17.44,8.54,44.12,0.0,0.0,0.0,0.0,0.0,0.0
Carthage,Franklin,845.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,26.26,20.65,24.16,39.21,26.46,12.5,0.0,3.55,5.78,10.65,16.8,13.14,17.63,14.48,1.02,0.0,0.0,0.0,0.0,0.0
East Central Franklin UT,Franklin,1074.0,Seasonal market stabilization,seasonal/year-round housing pressure; workforce commute pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,25.3,30.27,33.52,31.38,41.04,16.26,0.0,6.05,1.5,27.0,20.86,15.55,33.64,23.61,0.0,0.0,0.0,0.0,0.0,0.0
Lincoln,Oxford,47.0,Seasonal market stabilization,seasonal/year-round housing pressure; digital resilience gap; workforce commute pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,24.82,28.95,49.39,21.71,57.12,15.0,0.0,4.26,3.85,40.43,29.79,0.0,81.29,28.57,19.23,0.0,0.0,0.0,0.0,0.0
Seboeis,Penobscot,12.0,Seasonal market stabilization,seasonal/year-round housing pressure; workforce commute pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,24.76,39.0,33.0,19.87,48.31,40.0,0.0,0.0,0.0,66.67,8.33,0.0,85.96,66.67,0.0,0.0,0.0,0.0,0.0,0.0
Sorrento,Hancock,345.0,Seasonal market stabilization,seasonal/year-round housing pressure; workforce commute pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,24.44,37.02,26.88,24.85,45.86,23.88,4.76,5.8,2.82,22.61,9.28,19.42,49.67,44.71,0.0,0.0,0.0,0.0,0.0,0.0
Central Aroostook UT,Aroostook,268.0,Seasonal market stabilization,seasonal/year-round housing pressure; workforce commute pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,24.07,32.89,31.18,25.83,46.2,29.79,0.0,0.0,0.0,29.48,22.39,17.91,53.9,36.69,0.0,0.0,0.0,0.0,0.0,0.0
Unity UT,Kennebec,36.0,Monitor and screen after hazard layers,digital resilience gap; workforce commute pressure,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,23.05,5.72,46.75,16.73,40.82,0.0,0.0,0.0,14.29,38.89,30.56,11.11,0.0,64.29,14.29,0.0,0.0,0.0,0.0,0.0
Caratunk,Somerset,101.0,Seasonal market stabilization,seasonal/year-round housing pressure; workforce commute pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,22.84,28.59,38.19,22.26,47.37,22.64,0.0,0.0,0.0,58.42,22.77,3.96,69.86,36.36,0.0,0.0,0.0,0.0,0.0,0.0
Central Somerset UT,Somerset,333.0,Seasonal market stabilization,seasonal/year-round housing pressure; workforce commute pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,22.7,30.38,37.84,19.64,48.53,19.23,0.97,3.6,1.38,57.66,15.02,10.51,37.14,66.85,1.84,0.0,0.0,0.0,0.0,0.0
North Oxford UT,Oxford,36.0,Seasonal market stabilization,seasonal/year-round housing pressure; workforce commute pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,22.29,28.34,42.23,18.02,48.6,0.0,0.0,16.67,0.0,22.22,27.78,19.44,94.52,57.14,0.0,0.0,0.0,0.0,0.0,0.0
